label,fullname,func
National Defense,National Defense,050
Intl. Affairs,International Affairs,150
Science,"General Science, Space, and Technology",250
Energy,Energy,270
Environ.,Natural Resources and Environment,300
Agri.,Agriculture,350
Commerce,Commerce and Housing Credit,370
Transportation,Transportation,400
Regional Development,Community and Regional Development,450
Social Services,"Education, Training, Employment, and Social Services",500
Health,Health,550
Medicare,Medicare,570
Income Security,Income Security,600
Social Security,Social Security,650
Veterans Benefits,Veterans Benefits and Services,700
Justice,Administration of Justice,750
Gov.,General Government,800
Net Interest,Net Interest,900
